Identifiant du compteur;Nom du compteur;Identifiant du site de comptage;Nom du site de comptage;Comptage horaire;Date et heure de comptage;Date d'installation du site de comptage;Lien vers photo du site de comptage;Coordonnées géographiques;Identifiant technique compteur;ID Photos;test_lien_vers_photos_du_site_de_comptage_;id_photo_1;url_sites;type_dimage;test_lien_vers_photos_du_site_de_comptage_;mois_annee_comptage
100050876-104050876;Totem 64 Rue de Rivoli O-E;100050876;Totem 64 Rue de Rivoli;172.0;2026-01-09T12:00:00+00:00;2019-09-03;['https://filer.eco-counter-tools.com/file/b5/0b7ff66e3691ec45884b7126743451f2bbcbf28529d2ced6a350eaee1bfe33b5/15886904766270.jpg'];48.85735, 2.35211;YTH19037970;['https://filer.eco-counter-tools.com/file/b5/0b7ff66e3691ec45884b7126743451f2bbcbf28529d2ced6a350eaee1bfe33b5/15886904766270.jpg'];;['https:;https://www.eco-visio.net/Photos/100050876;jpg'];['https://filer.eco-counter-tools.com/file/b5/0b7ff66e3691ec45884b7126743451f2bbcbf28529d2ced6a350eaee1bfe33b5/15886904766270.jpg'];2026-01
300030996-353361762;Face au 21 boulevard de Ménilmontant SE-NO;300030996;Face au 21 boulevard de Ménilmontant;108.0;2026-01-09T20:00:00+00:00;2023-03-13;['https://filer.eco-counter-tools.com/file/d8/a6080f281c288e1896af511e134b7a8bbcb48c47221e5e38c01d5d73f6fa25d8/Y2H19070363_20230314110913.jpg', 'https://filer.eco-counter-tools.com/file/4b/7fd5d7b90990b5df8b28ae77f4c834e0f041dcb80d93ecd1d10af609f507344b/Y2H19070363_20240618140242.jpg', 'https://filer.eco-counter-tools.com/file/c8/0c7f09725723379f79437ff14f042783657b1422c211f30c6e0521452658e0c8/Y2H19070363_20250729134948.jpg'];48.85976, 2.38884;Y2H19070363;['https://filer.eco-counter-tools.com/file/d8/a6080f281c288e1896af511e134b7a8bbcb48c47221e5e38c01d5d73f6fa25d8/Y2H19070363_20230314110913.jpg', 'https://filer.eco-counter-tools.com/file/4b/7fd5d7b90990b5df8b28ae77f4c834e0f041dcb80d93ecd1d10af609f507344b/Y2H19070363_20240618140242.jpg', 'https://filer.eco-counter-tools.com/file/c8/0c7f09725723379f79437ff14f042783657b1422c211f30c6e0521452658e0c8/Y2H19070363_20250729134948.jpg'];;['https:;https://www.eco-visio.net/Photos/300030996;jpg'];['https://filer.eco-counter-tools.com/file/d8/a6080f281c288e1896af511e134b7a8bbcb48c47221e5e38c01d5d73f6fa25d8/Y2H19070363_20230314110913.jpg'];2026-01
100056044-101056044;132 rue Lecourbe NE-SO;100056044;132 rue Lecourbe;40.0;2026-01-09T10:00:00+00:00;2019-10-29;['https://filer.eco-counter-tools.com/file/c0/4e10154c52f8a588d6e4e061e4ea96717c22d20a755eb733e163f1c7042c30c0/15723669000120.jpg', 'https://filer.eco-counter-tools.com/file/e5/c3a6eab4d479ad27541e627f543e6dcf8af7b80fba5ad07caf681b2f22b1c1e5/Y2H19070359_20200818105600.jpg', 'https://filer.eco-counter-tools.com/file/36/816e990e381f5028d8a171e73da7f58a7ff09a5a64514cd60e06c4aca7ba7636/15977409836620.jpg', 'https://filer.eco-counter-tools.com/file/4c/dcaac88515dee2486c15cf035259ad838379d0905fc8b2b53ea5d2f63f6af04c/Y2H19070359_20210810103032.jpg', 'https://filer.eco-counter-tools.com/file/b7/7d572a0ecb91dd1cb7a00f15b7945813825f3ead578123eb3af1b63e16e956b7/Y2H19070359_20220803115521.jpg', 'https://filer.eco-counter-tools.com/file/92/c689aa126f466ab068a168fed73e7e817c4af0d6fe7af3817cbfef47ef18fe92/Y2H18086315_20231128100755.jpg', 'https://filer.eco-counter-tools.com/file/a9/0893b32959726f2ba49e32d6696c35e068801a68b5fad10f05566f9c7aad33a9/Y2H18086315_20240611150219.jpg', 'https://filer.eco-counter-tools.com/file/d7/c6b27c2fa806fcd65aed632ff746f310cb163d0c373880fb82be8085fdff76d7/Y2H18086315_20250730105121.jpg', 'https://filer.eco-counter-tools.com/file/67/c3b38e996978330bd0d0d129bda97a63296c1c89db948817c342d8eeb7ded767/Y2H18086315_20250730153745.jpg'];48.84209, 2.30115;Y2H19070359;['https://filer.eco-counter-tools.com/file/c0/4e10154c52f8a588d6e4e061e4ea96717c22d20a755eb733e163f1c7042c30c0/15723669000120.jpg', 'https://filer.eco-counter-tools.com/file/e5/c3a6eab4d479ad27541e627f543e6dcf8af7b80fba5ad07caf681b2f22b1c1e5/Y2H19070359_20200818105600.jpg', 'https://filer.eco-counter-tools.com/file/36/816e990e381f5028d8a171e73da7f58a7ff09a5a64514cd60e06c4aca7ba7636/15977409836620.jpg', 'https://filer.eco-counter-tools.com/file/4c/dcaac88515dee2486c15cf035259ad838379d0905fc8b2b53ea5d2f63f6af04c/Y2H19070359_20210810103032.jpg', 'https://filer.eco-counter-tools.com/file/b7/7d572a0ecb91dd1cb7a00f15b7945813825f3ead578123eb3af1b63e16e956b7/Y2H19070359_20220803115521.jpg', 'https://filer.eco-counter-tools.com/file/92/c689aa126f466ab068a168fed73e7e817c4af0d6fe7af3817cbfef47ef18fe92/Y2H18086315_20231128100755.jpg', 'https://filer.eco-counter-tools.com/file/a9/0893b32959726f2ba49e32d6696c35e068801a68b5fad10f05566f9c7aad33a9/Y2H18086315_20240611150219.jpg', 'https://filer.eco-counter-tools.com/file/d7/c6b27c2fa806fcd65aed632ff746f310cb163d0c373880fb82be8085fdff76d7/Y2H18086315_20250730105121.jpg', 'https://filer.eco-counter-tools.com/file/67/c3b38e996978330bd0d0d129bda97a63296c1c89db948817c342d8eeb7ded767/Y2H18086315_20250730153745.jpg'];;['https:;https://www.eco-visio.net/Photos/100056044;jpg'];['https://filer.eco-counter-tools.com/file/c0/4e10154c52f8a588d6e4e061e4ea96717c22d20a755eb733e163f1c7042c30c0/15723669000120.jpg'];2026-01
100047550-101047550;35 boulevard de Ménilmontant NO-SE;100047550;35 boulevard de Ménilmontant;23.0;2026-01-09T01:00:00+00:00;2018-11-29;['https://filer.eco-counter-tools.com/file/6b/3c241c2cc10af04dc16bef6ebb4617f5ba12eb76337a663980a5d857dea91d6b/15440278883470.jpg', 'https://filer.eco-counter-tools.com/file/4c/e4c8012ce1da9b8f3ea7b262749f43cd506ed4a42a5060cc43a224114b2e8c4c/Y2H18086326_20200819115346.jpg', 'https://filer.eco-counter-tools.com/file/a8/fbb3f3ee75e29b068677bb8b94e3e96883e0a9455778f01b08687b5563c49da8/15978308466930.jpg', 'https://filer.eco-counter-tools.com/file/bd/14a8d380aeaddb6bc49772966aa273168e4eda26701532d5f9ef80b1b2aa83bd/Y2H18086326_20210204111506.jpg', 'https://filer.eco-counter-tools.com/file/83/a58c1d3eb7796e42de2eb40768090a2aa756f6b32490355fa033367f69a25a83/Y2H18086326_20210811120029.jpg', 'https://filer.eco-counter-tools.com/file/c4/909fe899ca2a4f0e36c1553b16e478078ba317849e9163f71a9d1ce34b6818c4/Y2H18086326_20210922174350.jpg', 'https://filer.eco-counter-tools.com/file/17/88feb56e864bad892a3ea390d78d4a270889ba526cb63fe147928a42387ff617/Y2H18086326_20211202104422.jpg', 'https://filer.eco-counter-tools.com/file/b7/0df0a0017f2d3ab10a59f3bf8c5ca1f939ea0de523eb4c1028a56aa74d6664b7/Y2H18086326_20220802154950.jpg', 'https://filer.eco-counter-tools.com/file/15/265ea38cae2918b8ebc98d5d78a2dbe5c4d1dc180686d48e941b5f865d406f15/Y2H18086326_20240618135346.jpg', 'https://filer.eco-counter-tools.com/file/3d/e4713bb296cd9d146521511dd23828dcba2157e790d74fc6f5b8690d12469a3d/Y2H18086326_20250729134328.jpg'];48.860528, 2.388364;Y2H18086326;['https://filer.eco-counter-tools.com/file/6b/3c241c2cc10af04dc16bef6ebb4617f5ba12eb76337a663980a5d857dea91d6b/15440278883470.jpg', 'https://filer.eco-counter-tools.com/file/4c/e4c8012ce1da9b8f3ea7b262749f43cd506ed4a42a5060cc43a224114b2e8c4c/Y2H18086326_20200819115346.jpg', 'https://filer.eco-counter-tools.com/file/a8/fbb3f3ee75e29b068677bb8b94e3e96883e0a9455778f01b08687b5563c49da8/15978308466930.jpg', 'https://filer.eco-counter-tools.com/file/bd/14a8d380aeaddb6bc49772966aa273168e4eda26701532d5f9ef80b1b2aa83bd/Y2H18086326_20210204111506.jpg', 'https://filer.eco-counter-tools.com/file/83/a58c1d3eb7796e42de2eb40768090a2aa756f6b32490355fa033367f69a25a83/Y2H18086326_20210811120029.jpg', 'https://filer.eco-counter-tools.com/file/c4/909fe899ca2a4f0e36c1553b16e478078ba317849e9163f71a9d1ce34b6818c4/Y2H18086326_20210922174350.jpg', 'https://filer.eco-counter-tools.com/file/17/88feb56e864bad892a3ea390d78d4a270889ba526cb63fe147928a42387ff617/Y2H18086326_20211202104422.jpg', 'https://filer.eco-counter-tools.com/file/b7/0df0a0017f2d3ab10a59f3bf8c5ca1f939ea0de523eb4c1028a56aa74d6664b7/Y2H18086326_20220802154950.jpg', 'https://filer.eco-counter-tools.com/file/15/265ea38cae2918b8ebc98d5d78a2dbe5c4d1dc180686d48e941b5f865d406f15/Y2H18086326_20240618135346.jpg', 'https://filer.eco-counter-tools.com/file/3d/e4713bb296cd9d146521511dd23828dcba2157e790d74fc6f5b8690d12469a3d/Y2H18086326_20250729134328.jpg'];;['https:;https://www.eco-visio.net/Photos/100047550;jpg'];['https://filer.eco-counter-tools.com/file/6b/3c241c2cc10af04dc16bef6ebb4617f5ba12eb76337a663980a5d857dea91d6b/15440278883470.jpg'];2026-01
100056046-101056046;Pont des Invalides S-N;100056046;Pont des Invalides;13.0;2026-01-09T05:00:00+00:00;2019-11-05;['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg', 'https://filer.eco-counter-tools.com/file/e2/b2a419432fd8c362b8313a45a67ecc3a0fe79831193516ba88e26ca26bead1e2/Y2H19070357_20210811085532.jpg', 'https://filer.eco-counter-tools.com/file/b2/5c24c56403f1ace54900074105061145c317732092fc13343f5bb94d4ea3e5b2/Y2H19070357_20220802121810.jpg', 'https://filer.eco-counter-tools.com/file/1b/d7f0e18239e98d097bd9b712e1214c80d04480619659859b394abeb9f2a17b1b/Y2H21015014_20221116111218.jpg', 'https://filer.eco-counter-tools.com/file/e8/79a69bc6e280bdca36750fd05e9b1793e424b3a96796e51bfc292bd15aab2be8/Y2H21015014_20240611113837.jpg'];48.86279, 2.31055;Y2H19070357;['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg', 'https://filer.eco-counter-tools.com/file/e2/b2a419432fd8c362b8313a45a67ecc3a0fe79831193516ba88e26ca26bead1e2/Y2H19070357_20210811085532.jpg', 'https://filer.eco-counter-tools.com/file/b2/5c24c56403f1ace54900074105061145c317732092fc13343f5bb94d4ea3e5b2/Y2H19070357_20220802121810.jpg', 'https://filer.eco-counter-tools.com/file/1b/d7f0e18239e98d097bd9b712e1214c80d04480619659859b394abeb9f2a17b1b/Y2H21015014_20221116111218.jpg', 'https://filer.eco-counter-tools.com/file/e8/79a69bc6e280bdca36750fd05e9b1793e424b3a96796e51bfc292bd15aab2be8/Y2H21015014_20240611113837.jpg'];;['https:;https://www.eco-visio.net/Photos/100056046;jpg'];['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg'];2026-01
100056046-101056046;Pont des Invalides S-N;100056046;Pont des Invalides;1.0;2026-01-09T03:00:00+00:00;2019-11-05;['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg', 'https://filer.eco-counter-tools.com/file/e2/b2a419432fd8c362b8313a45a67ecc3a0fe79831193516ba88e26ca26bead1e2/Y2H19070357_20210811085532.jpg', 'https://filer.eco-counter-tools.com/file/b2/5c24c56403f1ace54900074105061145c317732092fc13343f5bb94d4ea3e5b2/Y2H19070357_20220802121810.jpg', 'https://filer.eco-counter-tools.com/file/1b/d7f0e18239e98d097bd9b712e1214c80d04480619659859b394abeb9f2a17b1b/Y2H21015014_20221116111218.jpg', 'https://filer.eco-counter-tools.com/file/e8/79a69bc6e280bdca36750fd05e9b1793e424b3a96796e51bfc292bd15aab2be8/Y2H21015014_20240611113837.jpg'];48.86279, 2.31055;Y2H19070357;['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg', 'https://filer.eco-counter-tools.com/file/e2/b2a419432fd8c362b8313a45a67ecc3a0fe79831193516ba88e26ca26bead1e2/Y2H19070357_20210811085532.jpg', 'https://filer.eco-counter-tools.com/file/b2/5c24c56403f1ace54900074105061145c317732092fc13343f5bb94d4ea3e5b2/Y2H19070357_20220802121810.jpg', 'https://filer.eco-counter-tools.com/file/1b/d7f0e18239e98d097bd9b712e1214c80d04480619659859b394abeb9f2a17b1b/Y2H21015014_20221116111218.jpg', 'https://filer.eco-counter-tools.com/file/e8/79a69bc6e280bdca36750fd05e9b1793e424b3a96796e51bfc292bd15aab2be8/Y2H21015014_20240611113837.jpg'];;['https:;https://www.eco-visio.net/Photos/100056046;jpg'];['https://filer.eco-counter-tools.com/file/44/cca7d84852f7cf73ded7d248769fb9851bd5847a1f0bfe0b736ef1d1b6fb1e44/15730354761490.jpg'];2026-01
100042374-109042374;Voie Georges Pompidou SO-NE;100042374;Voie Georges Pompidou;13.0;2026-01-09T22:00:00+00:00;2017-12-14;['https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png', 'https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg', 'https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg', 'https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg', 'https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg', 'https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg', 'https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg', 'https://filer.eco-counter-tools.com/file/ba/5fe72fb52db494f0260e7c0ba04938e1fe49af2d60fb9d2f3b3899a17061ddba/Y2H21025335_20240611161331.jpg', 'https://filer.eco-counter-tools.com/file/d8/ca09768c4eec1987378b3757922e8ef18d45c3579185f1c737b0d5c1924fdbd8/Y2H21025335_20250730152026.jpg'];48.84837, 2.27596;Y2H17113871;['https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.png', 'https://filer.eco-counter-tools.com/file/68/1dce0451d633e7c432c030664bb1dc9db8403605258bb6cfbb9e76fb9e5d2668/15172173001793.jpg', 'https://filer.eco-counter-tools.com/file/d3/e13e40d3b13aba5096e32a0db43cf614d3d6a285fbeb0f14f751dcc678caecd3/15172173000772.jpg', 'https://filer.eco-counter-tools.com/file/3c/2a10997edb70e56a49b040c230d44ab3c560394a4b3fcedb73c8664ffaef963c/15765772112340.jpg', 'https://filer.eco-counter-tools.com/file/81/3fa335611bc26cf7cf2ec3822d0618d1ec999581b67ea0e1befd6315ca0a1481/Y2H21025335_20210330155535.jpg', 'https://filer.eco-counter-tools.com/file/87/8c6aaf39f1e0063e0fc5aa5c3aa7c0df859d6fed1a89cf863360a16969242e87/Y2H21025335_20210330155549.jpg', 'https://filer.eco-counter-tools.com/file/dc/ca258975923935a97c60c5ff55bcade8612078a737101f80ba28995f29f01cdc/Y2H21025335_20220802152245.jpg', 'https://filer.eco-counter-tools.com/file/ba/5fe72fb52db494f0260e7c0ba04938e1fe49af2d60fb9d2f3b3899a17061ddba/Y2H21025335_20240611161331.jpg', 'https://filer.eco-counter-tools.com/file/d8/ca09768c4eec1987378b3757922e8ef18d45c3579185f1c737b0d5c1924fdbd8/Y2H21025335_20250730152026.jpg'];;['https:;https://www.eco-visio.net/Photos/100042374;jpg'];['https://filer.eco-counter-tools.com/file/85/6f1a65ada98e5b9c30af21c28ced81ae2d1a3a91d27f7a5ec23a04f8e64dd185/15374559754710.jpg'];2026-01
100056223-101056223;Pont des Invalides (couloir bus) N-S;100056223;Pont des Invalides (couloir bus);1.0;2026-01-09T04:00:00+00:00;2019-11-06;['https://filer.eco-counter-tools.com/file/09/3bbfdc91a8bc53cb0b3b2933a2be0ec48c2af827b3f20a8454e46bc30d6c1009/15730380158370.jpg', 'https://filer.eco-counter-tools.com/file/e8/ee201d4801cbf3c1e30c7d3eb0e23e32047dff6803965d4127a58700f8921be8/Y2H19070365_20210811090128.jpg', 'https://filer.eco-counter-tools.com/file/61/991f0ec364d6e31559d24e9c1b47dc664e9b780db43b2984f0ee3d1b0e542561/Y2H19070365_20220802123152.jpg', 'https://filer.eco-counter-tools.com/file/7e/08e2147d11ff56ed9d1c492a912bda6a50f7e46da3417e33d33db1c19ebf707e/Y2H19070365_20240611113343.jpg', 'https://filer.eco-counter-tools.com/file/39/b60c182e5041bf7ac3a5aacc348b0d2087b3d342b7cbc4608b13bcaa9b813039/X2H24052142_20241115092850.jpg', 'https://filer.eco-counter-tools.com/file/4b/a4a2ff63ea2989993069a4c3eb6bdc3ec38a7940a0fef4e1c22f266379bc704b/X2H24052142_20241115093957.jpg', 'https://filer.eco-counter-tools.com/file/5b/8e49b02e5920f3928cd941177242616255dbf979ebaee175d16c040082bd195b/X2H24052142_20250730134902.jpg', 'https://filer.eco-counter-tools.com/file/56/5217dd69e8f675498030b818b9287f009839d94cda11f5a9547c21eaeaebdb56/ZLT25102547_1768818243572.jpg'];48.86281, 2.31037;Y2H19070365;['https://filer.eco-counter-tools.com/file/09/3bbfdc91a8bc53cb0b3b2933a2be0ec48c2af827b3f20a8454e46bc30d6c1009/15730380158370.jpg', 'https://filer.eco-counter-tools.com/file/e8/ee201d4801cbf3c1e30c7d3eb0e23e32047dff6803965d4127a58700f8921be8/Y2H19070365_20210811090128.jpg', 'https://filer.eco-counter-tools.com/file/61/991f0ec364d6e31559d24e9c1b47dc664e9b780db43b2984f0ee3d1b0e542561/Y2H19070365_20220802123152.jpg', 'https://filer.eco-counter-tools.com/file/7e/08e2147d11ff56ed9d1c492a912bda6a50f7e46da3417e33d33db1c19ebf707e/Y2H19070365_20240611113343.jpg', 'https://filer.eco-counter-tools.com/file/39/b60c182e5041bf7ac3a5aacc348b0d2087b3d342b7cbc4608b13bcaa9b813039/X2H24052142_20241115092850.jpg', 'https://filer.eco-counter-tools.com/file/4b/a4a2ff63ea2989993069a4c3eb6bdc3ec38a7940a0fef4e1c22f266379bc704b/X2H24052142_20241115093957.jpg', 'https://filer.eco-counter-tools.com/file/5b/8e49b02e5920f3928cd941177242616255dbf979ebaee175d16c040082bd195b/X2H24052142_20250730134902.jpg', 'https://filer.eco-counter-tools.com/file/56/5217dd69e8f675498030b818b9287f009839d94cda11f5a9547c21eaeaebdb56/ZLT25102547_1768818243572.jpg'];;['https:;https://www.eco-visio.net/Photos/100056223;jpg'];['https://filer.eco-counter-tools.com/file/09/3bbfdc91a8bc53cb0b3b2933a2be0ec48c2af827b3f20a8454e46bc30d6c1009/15730380158370.jpg'];2026-01
300030838-353360367;12 avenue de la Porte de Bagnolet O-E;300030838;12 avenue de la Porte de Bagnolet;40.0;2026-01-09T13:00:00+00:00;2023-03-07;['https://filer.eco-counter-tools.com/file/10/21530794231048ccd15bdf14600265422596283c187dd2b78fa884a3a4b93c10/Y2H19070360_20230307175905.jpg', 'https://filer.eco-counter-tools.com/file/d4/2b4a0e2bd412c4f5c34f303feea19c626fce70cd9fa544a83725e3bc5dc7c2d4/Y2H19070360_20240618121524.jpg'];48.864771224562226, 2.410723865032196;Y2H19070360;['https://filer.eco-counter-tools.com/file/10/21530794231048ccd15bdf14600265422596283c187dd2b78fa884a3a4b93c10/Y2H19070360_20230307175905.jpg', 'https://filer.eco-counter-tools.com/file/d4/2b4a0e2bd412c4f5c34f303feea19c626fce70cd9fa544a83725e3bc5dc7c2d4/Y2H19070360_20240618121524.jpg'];;['https:;https://www.eco-visio.net/Photos/300030838;jpg'];['https://filer.eco-counter-tools.com/file/10/21530794231048ccd15bdf14600265422596283c187dd2b78fa884a3a4b93c10/Y2H19070360_20230307175905.jpg'];2026-01
100056226-104056226;Face au 8 avenue de la porte de Charenton NO-SE;100056226;Face au 8 avenue de la porte de Charenton;0.0;2026-01-09T02:00:00+00:00;2019-10-31;['https://filer.eco-counter-tools.com/file/ad/479ecfbeb0b0be92e3979c9dbb4564fd9f930c707cec6ae488cdc3f468dddcad/15731174654220.jpg', 'https://filer.eco-counter-tools.com/file/86/a1fd53e84c830c4f0eaa176e7adef866d2a45b8b2948f0098f07322992ddda86/Y2H19070370_20200819103136.jpg', 'https://filer.eco-counter-tools.com/file/00/fa2549d415ea4fbaa1d8ec2e20675d4505ceebd0841409e3fcb5fc8d2731f900/15978259126590.jpg', 'https://filer.eco-counter-tools.com/file/67/745db71800cf9decdf518492fbbba082093711f7aeaa2e99229f327680f81f67/Y2H19070370_20210810133704.jpg', 'https://filer.eco-counter-tools.com/file/3d/f3604c6fc7bd61d3c2da6b5f0d595f990815c13ae4d9368f554c22746617fa3d/Y2H19070370_20220803133719.jpg', 'https://filer.eco-counter-tools.com/file/2b/49fd731465271d0db27991198eec3fd9f8a184e14a361fb961ae362222ccb12b/Y2H19070370_20240618154250.jpg', 'https://filer.eco-counter-tools.com/file/0f/19c413d06abcecb981e039a263934f7887cf23368db585b3d0f4d9da75ce020f/Y2H19070370_20250729161312.jpg'];48.83033052177593, 2.400550837519253;Y2H19070370;['https://filer.eco-counter-tools.com/file/ad/479ecfbeb0b0be92e3979c9dbb4564fd9f930c707cec6ae488cdc3f468dddcad/15731174654220.jpg', 'https://filer.eco-counter-tools.com/file/86/a1fd53e84c830c4f0eaa176e7adef866d2a45b8b2948f0098f07322992ddda86/Y2H19070370_20200819103136.jpg', 'https://filer.eco-counter-tools.com/file/00/fa2549d415ea4fbaa1d8ec2e20675d4505ceebd0841409e3fcb5fc8d2731f900/15978259126590.jpg', 'https://filer.eco-counter-tools.com/file/67/745db71800cf9decdf518492fbbba082093711f7aeaa2e99229f327680f81f67/Y2H19070370_20210810133704.jpg', 'https://filer.eco-counter-tools.com/file/3d/f3604c6fc7bd61d3c2da6b5f0d595f990815c13ae4d9368f554c22746617fa3d/Y2H19070370_20220803133719.jpg', 'https://filer.eco-counter-tools.com/file/2b/49fd731465271d0db27991198eec3fd9f8a184e14a361fb961ae362222ccb12b/Y2H19070370_20240618154250.jpg', 'https://filer.eco-counter-tools.com/file/0f/19c413d06abcecb981e039a263934f7887cf23368db585b3d0f4d9da75ce020f/Y2H19070370_20250729161312.jpg'];;['https:;https://www.eco-visio.net/Photos/100056226;jpg'];['https://filer.eco-counter-tools.com/file/ad/479ecfbeb0b0be92e3979c9dbb4564fd9f930c707cec6ae488cdc3f468dddcad/15731174654220.jpg'];2026-01
